,dokument,RAG QUERY,informasjonsbehov,fra dokumentet,tekst_som_i_hendelse
83,84,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"A gikk ut i kjøkkenet. Der traff han to andre beboere i huset. Han spurte om å få en sigarett. B kom også ut til kjøkkenet. A fikk ikke sigaretter. Han gikk derfor opp i husets annen etasje for å spørre noen latviere om sigaretter. B gikk etter A opp i husets annen etasje. I annen etasje fikk de sigaretter. A gikk deretter ned igjen på kjøkkenet. A forklarte at B deretter gikk tilbake til soverommet. A forklarte at han glimtvis så hva som skjedde inne på soverommet. Han fikk et inntrykk av at B forsøkte å vekke avdøde. A visste da ikke om avdøde var i live eller ikke. Han så videre at B forsøkte å løfte avdøde opp. B fikk avdøde opp ved å ta tak under armene hans. I følge A gikk B deretter langsomt ut, mens han dro med seg avdøde. Han dro avdøde med seg ut av huset, bort til hushjørnet, og deretter bort til rododendronbusken hvor B plasserte avdøde. A så dette fra kjøkkenvinduet. B gikk deretter tilbake til soverommet. Han ryddet på rommet. Videre foretok han rengjøring av rommet, herunder ble gulvet i følge A vasket av B. B brukte vann og et håndkle under vaskingen. Videre ødela B saksen ved at han delte den i flere biter, og kastet den. Han sa til A at han skulle tilkalle hjelp.",A gikk ut i kjøkkenet. Der traff han to andre beboere i huset. 
84,85,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"A forklarte i retten at etter at B hadde dratt avdøde ut, kom det noen andre beboere til kjøkkenet. A tok imidlertid heller ikke opp med dem at det var nødvendig å tilkalle hjelp til E.",kom det noen andre beboere til kjøkkenet
88,89,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,C forklarte i retten at han opprinnelig trodde at det hele hadde skjedd på en mandag. Han forklarte at han ved anledningen var veldig beruset. Han har derfor blandet sammen ukedagene. Det hadde vært avholdt en avskjedsfest for en person som skulle reise tilbake til hjemlandet. Denne hadde startet mandag kveld og vart frem til torsdag.,i forbindelse med avholdt fest med varighet fra mandag til torsdag har en rekke personer angivelig vært tilstede i dette tidsrommet
90,91,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"C forklarte at han selv, B og avdøde var på hans rom om kvelden den 6. november 2013. A var litt frem og tilbake fra rommet, fordi han holdt på med matlaging. C husket at det oppsto en krangel mellom avdøde og B. Dette dreide seg om noen penger eller om noen joggesko. I følge C var dette noen B og avdøde tidligere ikke hadde delt seg imellom. C forklarte at det var to berusete menn som sa ekle ting til hverandre. C husket at de snakket høyt, og at han ba dem om å dempe seg fordi det var andre, og også barn i huset. C gir deretter ut av rommet.",barn i huset
100,101,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"Tiltalte B forklarte at han onsdag den 6. november 2013 om ettermiddagen, mens det ennå var lyst, dro til [adresse] for å besøke de to andre tiltalte. Han hadde ikke penger igjen på kontantkortet til telefonen. Han pleide å snakke med C på telefon, men kunne ikke ringe ham ved denne anledningen. Det var ingen hjemme i [adresse] da B ankom stedet. Han bestemte derfor at han ville vente til de andre kom hjem. B ventet på verandaen. Han drakk et par øl mens han ventet. E kom gående til stedet alene, mens B ventet på C og A. E spurte B hva han gjorde på stedet. B forklarte at han ventet på C og A. E spurte B om han kunne få øl av ham. B ga ham flasken, og E drakk noen slurker med øl. Deretter spurte E B om han hadde penger. B svarte at han ikke hadde penger. E ga seg imidlertid ikke, og ba på nytt om penger. Han ba om å få et par hundre kroner av B. B hadde imidlertid ikke mulighet for å gi E penger. B stolte heller ikke på at E ikke hadde penger. E dyttet mot skulderen til B og spurte om han ikke ville gi penger. B sa på nytt at han ikke hadde penger å gi ham. E dyttet da mot skulderen til B. B ba ham om å holde opp. E kikket da rundt seg. Han hadde en nesten avsluttet sigarett i munnen. Han slukket sneipen på verandakanten. Han sa til B: «Vil du ikke gi meg penger». Han viste deretter en saksespiss mot B. E gjorde deretter en skarp bevegelse som om han skulle stikke B. B tok da tak i E sin hånd. B klarte å få saksen ut av E sin hånd. Mens han forsøkte å få fatt i saksen fra E, fikk B et sår i håndflaten som begynte å blø. B viftet deretter med saksen foran E. Han gjorde dette for å signalisere at E skulle gå vekk, samt for å vise at han selv ville bort fra stedet. B sa at E skulle slutte opp. Videre sa B at han skulle gå fra stedet, og komme tilbake senere. E hoppet da på B og angrep ham. Da snublet B, og E snublet over B. B kjente at han fikk to spark i siden. B prøvde å komme seg løs, og lyktes med dette. Han ville gå fra stedet. Da han reiste seg og skulle gå, tok E tak i hans venstre fot. E var nede på bakken da dette skjedde. B kom seg imidlertid løs. Han rev løs foten og sprang bort fra huset. Dette var siste gang B så E. Det var fortsatt lyst da B sprang bort fra huset. Det var en bensinstasjon i nærheten, hvor det også var noen husker. B satt ved huskene i tre timer. Det ble mørkt. B røykte, og satt og kikket etter om E kom etter ham. Han turde ikke å gå tilbake til huset. Etter tre timer vendte han tilbake til [adresse]. Han gikk da ikke inn i huset, men gikk rett inn i garasjen, og opp i annen etasje. Han la seg der til å sove. Han oppholdt seg der helt til han ble pågrepet av politiet. Om alkoholinntak forut for at han kom til [adresse], forklarte B at han om morgenen den 6. november 2013 mellom klokken 0700 og 0900 drakk et par øl. Videre drakk han en kvart halvflaske med vodka senere på dagen, samt et par øl på verandaen da avdøde kom til stedet.",dro til [adresse] for å besøke de to andre tiltalte
115,116,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"Vitnet F leide ut rommet til C og A i [adresse]. De hadde også tidligere arbeidet for henne. Den 12. november 2013 tok A kontakt med F. Han fortalte at de hadde drukket alkohol torsdag kveld. Han forklarte videre at B hadde solgt noen sko til avdøde for kroner 1.000,-. Avdøde hadde imidlertid fått vite at tilsvarende sko kostet kroner 500,- på butikken. De hadde begynt og slåss og B hadde benyttet en saks til å drepe avdøde. A fortalte også til F at han hadde rømt fra stedet.",Vitnet F leide ut rommet til C og A 
130,131,"personer med tilgang (eier, leietaker, besøkende osv) til åstedet (boligen, adressen)",Hvem har tilknytning til åstedet / gjerningsadressen?,"A observerte to av stikkene og at fornærmede falt om på gulvet. I henhold til hans forklaring ble stikkene påført i ansiktet og i halsen. Han observerte også at E begynte å blø etter at han ble stukket i halsen. A valgte å forlate stedet. Retten finner det bevist utover enhver rimelig tvil at A forsto at E ble utsatt for en straffbar handling samt at han trengte hjelp. I henhold til A egen forklaring legges det også til grunn at han forsto at E som følge av stikkene var i livsfare. Dersom A ikke forsto at E var i livsfare og trengte hjelp, skyldtes dette i tilfelle selvforskyldt rus, og det fritar ikke fra straffansvar. A ville hatt mulighet til å varsle og skaffe hjelp. Han har begrensete språkkunnskaper, men det var flere andre til stede i huset som han kunne varslet. Retten viser til at han var i stand til å be om å få sigaretter av andre beboere i huset. Retten legger derfor til grunn at han ville vært i stand til å be om hjelp til E, rope på de andre beboerne, få de til å ringe ambulanse el. Det var flere handlingsalternativer med hensyn til å skaffe hjelp. I 30 minutter ville det vært mulig å berge E. A forlot imidlertid stedet.",det var flere andre til stede i huset
4,5,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"Avdøde var våt, kald og stiv da han ble funnet. Avdøde var blodtilsølt på magen, hendene, armene, ansiktet og halsen. Avdøde hadde flere synlige skader i ryggen og i ansiktet.","Avdøde var blodtilsølt på magen, hendene, armene, ansiktet og halsen. Avdøde hadde flere synlige skader i ryggen og i ansiktet."
15,16,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,Det vesentligste av blodforekomstene som ble registrert av politiet ble funnet inne på det soverommet der tiltalte C og tiltalte A bodde. Det var der synlige fottøyavtrykk i væte/skitt og blod. Politiet mener at avdøde er blitt påført gjentatte stikkskader sannsynligvis på gulvet i forkant av sengen i soverommet. Det vises til vitneforklaringene fra politibetjent Bente Endal Angeltvedt og politioverbetjent Per Tharaldsen.,avdøde er blitt påført gjentatte stikkskader sannsynligvis på gulvet i forkant av sengen i soverommet
26,27,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,Tiltalte C og tiltalte A bodde i huset på det aktuelle tidspunktet. De leide det rommet hvor politiet mener at avdøde ble stukket med en saks. Avdøde var på besøk i huset den aktuelle kvelden/natten.,avdøde ble stukket med en saks
36,37,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"Avdøde var en mann på 186 cm som veide 108 kg. Det ble besluttet obduksjon. Avdøde ble obdusert av professor dr med Inge Morild og 1 amanuensis dr med Peer K Lilleng. Avdøde hadde en rekke stikkskader i ansikt, hode, nakke, rygg og bryst.","Avdøde hadde en rekke stikkskader i ansikt, hode, nakke, rygg og bryst."
46,47,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"7.	Skarpkantet, 1,3 cm lang lesjon, også med litt uregelmessigheter i kanten, og med hudavskrapning som en utløper 1,6 cm litt nedenfor selve stikksåret. Lesjonen ligger 160 cm over fotsålenivå, ca. 3 cm fra midtlinjen, på venstre side. Det går en stikkanal helt inn til tverrtaggene i halsryggraden, det det finnes rikelig blødning, men ingen tydelig lesjon av selve ryggmargskanalen eller ryggmargen. Det er likevel utbredt blødning på utsiden av den harde hjernehinne i dette området, og langs ryggmargskanalens innside.","utbredt blødning på utsiden av den harde hjernehinne i dette området, og langs ryggmargskanalens innside; stikkanal helt inn til tverrtaggene i ryggraden, der det finnes rikelig blødning"
60,61,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"Det ble påvist en blodalkoholkonsentrasjon på 3,1 promille hos avdøde. Det ble påvist en promille på 3,7 i urinen. Dette er konsentrasjoner som vanligvis er forbundet med sterk påvirkning. Den sakkyndige, professor, dr med Inge Morild forklarte i retten at avdøde var vant til å drikke alkohol, og derfor tålte mer enn det som er vanlig. Under et sykehusopphold i 2011 ble det målt en blodalkoholkonsentrasjon på 4,09 promille hos E. Avdøde var likevel våken og i stand til å kommunisere. Doktor Morild mente at en promille på 3,1 ikke ville vært dødelig for avdøde.","Doktor Morild mente at en promille på 3,1 ikke ville vært dødelig for avdøde."
61,62,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"Det fremgår av den endelige konklusjonen i rettsmedisinsk undersøkelse 20. januar 2014 at det i hjernen stedvis fantes blødning under spindelvevshinnen i tillegg til litt væskeoverfylning. I halsmargen fantes lett knusningsskade med blødning i selve halsryggmargen. Det fremgår videre at stikkskader med utbredt blødning antas å ha hatt størst betydning som dødsårsak, men sterk påvirkning og mulig nedkjøling kan også ha hatt betydning. Videre skriver rettsmedisinerne at utbredte skader, sterk alkoholpåvirkning, blodtap og skade på halsryggmargen taler for at avdøde neppe har beveget seg mye etter at skaden i halsryggraden inntraff. Det fremholdes at det ikke kan avgjøres sikkert om døden var inntrådt da avdøde ble liggende ved rododendronbusken. Dersom døden ikke allerede var inntrådt er det rimelig å anta at nedkjøling kan ha hatt en viss medvirkende betydning som dødsårsak.","stikkskader med utbredt blødning antas å ha hatt størst betydning som dødsårsak, men sterk påvirkning og mulig nedkjøling kan også ha hatt betydning."
67,68,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,Doktor Morild fremholdt i retten at han ikke trodde at den mulige nedkjølingen hadde hatt betydning som dødsårsak. Han mente at avdøde allerede var død da han ble fraktet ut. Heller ikke alkoholkonsentrasjonen mente doktor Morild hadde betydning som dødsårsak.,Doktor Morild fremholdt i retten at han ikke trodde at den mulige nedkjølingen hadde hatt betydning som dødsårsak.
68,69,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"Etter doktor Morilds vurdering var forblødning fra stikksårene den mest sannsynlige dødsårsaken, og retten legger dette til grunn.",Etter doktor Morilds vurdering var forblødning fra stikksårene den mest sannsynlige dødsårsaken
77,78,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"B mislikte sterkt at avdøde hadde kalt ham for en «pederast». Han forlangte at avdøde skulle be om unnskyldning for å ha kalt ham en «pederast». Avdøde var imidlertid beruset. Han ba ikke B om unnskyldning, men kalte ham «pederast» ytterligere en gang. A forklarte at B hadde sittet i fengsel. I fengselet fikk man ikke respekt for slike ord. B følte seg ydmyket. A forklarte videre at B som et resultat av dette grep en saks som lå bak ryggen hans. Han påførte E to stikk med saksen. Som følge av dette seilet avdøde om, og falt ned på gulvet. A mente at avdøde ble liggende med ansiktet ned i gulvet. A forklarte at avdøde satt på sengen da han ble påført stikkene. B satt på huk like i nærheten. I følge A stakk B avdøde først en gang i ansiktet med saksen. Deretter stakk han avdøde i halsen med saksen. Avdøde falt da ned på gulvet med hodet mot vinduet. Til politiet forklarte A den 23. januar 2014 at det sprutet ganske sterkt med blod fra halsen til avdøde.","A forklarte videre at B som et resultat av dette grep en saks som lå bak ryggen hans. Han påførte E to stikk med saksen. Som følge av dette seilet avdøde om, og falt ned på gulvet"
91,92,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"C våknet om natten, og befant seg da på et annet rom i første etasje, som ikke var i bruk av noen av beboerne i huset. Han hørte da høylydte stemmer. Da han våknet var han dårlig og skalv. Han gikk tilbake til eget rom. Han husket ikke hvor mye klokken var. Det var dårlig belysning i rommet. B sto i rommet og dataskjermen var på. C observerte da at E satt eller lå mellom bordet og sengen. C satte seg ned i døråpningen. B sa da at han hadde slått med en saks og at han skulle svare for det. Han sa ikke hvordan han hadde slått. I forbindelse med rettslig avhør i forbindelse med fremstilling for varetektsfengsling den 9. november 2013 forklarte C at B hadde sagt at han hadde slått eller stukket fornærmede med en saks.",han hadde slått eller stukket fornærmede med en saks.
99,100,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,C dro til byen og møtte noen personer fra Polen på Robin Hood huset den 7. november 2013. Han fortalte til disse at B hadde sagt til ham at han hadde stukket E to ganger med en saks.,Han fortalte til disse at B hadde sagt til ham at han hadde stukket E to ganger med en saks.
111,112,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"Retten fester ikke lit til forklaringen til tiltalte B. Retten finner det bevist utover enhver rimelig tvil at B natt til torsdag den 7. november 2013 i [adresse] i Bergen, stakk E gjentatte ganger i ansiktet, hodet, nakken, ryggen og brystet. E døde samme kveld av forblødning."," stakk E gjentatte ganger i ansiktet, hodet, nakken, ryggen og brystet. E døde samme kveld av forblødning."
125,126,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"Doktor Morild forklarte at han mente at E var død da han ble båret ut. Dødsstivheten og promillen tilsa etter doktor Morilds vurdering av E døde raskt og mens han lå på magen. Doktor Morild vurderte det slik at hverken promillen eller nedkjølingen har hatt betydning som dødsårsak. Doktor Morild mente at forblødning fra stikksårene han ble påført er den mest sannsynlige dødsårsaken. Doktor Morild mente at E kunne vært reddet dersom han hadde fått hjelp. Det er ikke funnet blod nedover i lungene. Doktor Morild trodde heller ikke at stikkene i ryggmargen skade nummer 6 og skade nummer 7 isolert sett ville være dødelige. Dødsårsaken er da blødning fra stikksår som har blødd ut mens E lå bevisstløs. Det er summen av stikkskader, i alt 17, som gjorde at blødningen her ble så betydelig. Dette har etter doktor Morilds vurdering tatt noe tid. Man har ikke i denne saken et eksakt dødsøyeblikk. Doktor Morild mente at dersom stikkene kom på samme tid kunne det gå en halvtime til døden inntreffer, men det kunne også gå kortere tid enn dette.","Doktor Morild vurderte det slik at hverken promillen eller nedkjølingen har hatt betydning som dødsårsak. Doktor Morild mente at forblødning fra stikksårene han ble påført er den mest sannsynlige dødsårsaken; Det er summen av stikkskader, i alt 17, som gjorde at blødningen her ble så betydelig. "
126,127,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,"B har påført avdøde en rekke dype stikk i nakken. Han har videre stukket ham i ansiktet og i halsen. Retten finner det bevist utover enhver rimelig tvil at B regnet det som sikkert eller overveiende sannsynlig at E ville dø som følge av stikkene. Retten viser til at avdøde ble påført en rekke stikk i et svært sårbart område. Ved vurderingen legger retten til grunn at det skal ses bort fra uvitenhet som følge av selvforskyldt rus, jf straffeloven 1902 § 45 og straffeloven 2005 § 25.",B har påført avdøde en rekke dype stikk i nakken. Han har videre stukket ham i ansiktet og i halsen.
129,130,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,Retten legger til grunn at E døde inne på soverommet som følge av stikkene B påførte ham. Dette skjedde senest innen 30 minutter etter at stikkene var blitt påført. E kunne vært reddet dersom hjelp hadde blitt tilkalt.,E døde inne på soverommet som følge av stikkene B påførte ham. 
132,133,hvordan døde avdøde (dødsårsaken),Hva har skjedd - dødsårsak,Hva gjelder tiltalte C er retten enig med påtalemyndigheten i at det ikke er ført bevis utover enhver rimelig tvil for at C så den handlingen som A har beskrevet. C så avdøde ligge på gulvet. Etter doktor Morilds vurdering kan E ha dødd innen 30 minutter etter at stikkene var påført. Ved bevisbedømmelsen under skyldspørsmålet skal enhver rimelig tvil komme tiltalte til gode. Retten kan derfor ikke utelukke at E allerede var død da C så ham. Det er ikke ført bevis for at det var mulig å berge E på det tidspunktet C observerte ham liggende på gulvet. Det foreligger dermed rimelig tvil om C kunne varslet i tide til at avdøde kunne vært berget. Avvergingsplikten knytter seg til det tidspunktet hvor den straffbare handlingen eller dens følger ennå kan avverges. Det er ikke ført bevis utover enhver rimelig tvil for at C kunne avverget følgene av det straffbare forhold på det tidspunktet han observerte avdøde liggende på soverommet. Han må derfor bli å frifinne.,Etter doktor Morilds vurdering kan E ha dødd innen 30 minutter etter at stikkene var påført.
76,77,fornærmedes (avdøde) invovlering i konflikt/krangel,Var fornærmede involvert i konflikt?,"A forklarte i retten at det om kvelden forut for det tidspunktet som er angitt i tiltalen oppsto en krangel mellom avdøde og B. Denne krangelen begynte før de hadde spist middag. A som var opptatt med å lage mat, gikk til og fra mens denne krangelen pågikk. Avdøde og B kranglet om noen sko som avdøde hadde kjøpt av B. I løpet av kvelden spiste de fire også en suppe som A hadde laget. Måltidet ble inntatt inne på soverommet til C og A. Avdøde skal ha vært opprørt på grunn av prisen han måtte betale B for skoene. Både avdøde og B skal ha vært beruset. A forklarte i retten at avdøde kalte B for en «pederast». Dette skjedde senere, og etter at måltidet var avsluttet. C var i følge A ikke til stede i rommet da avdøde kalte B for «pederast». C forlot rommet tidligere mens det bare var en verbal krangel mellom de to, for å gå på toalettet. I følge A vendte C ikke tilbake til rommet igjen.", oppsto en krangel mellom avdøde og B; Avdøde og B kranglet om noen sko som avdøde hadde kjøpt av B; A forklarte i retten at avdøde kalte B for en «pederast».
90,91,fornærmedes (avdøde) invovlering i konflikt/krangel,Var fornærmede involvert i konflikt?,"C forklarte at han selv, B og avdøde var på hans rom om kvelden den 6. november 2013. A var litt frem og tilbake fra rommet, fordi han holdt på med matlaging. C husket at det oppsto en krangel mellom avdøde og B. Dette dreide seg om noen penger eller om noen joggesko. I følge C var dette noen B og avdøde tidligere ikke hadde delt seg imellom. C forklarte at det var to berusete menn som sa ekle ting til hverandre. C husket at de snakket høyt, og at han ba dem om å dempe seg fordi det var andre, og også barn i huset. C gir deretter ut av rommet.","C husket at det oppsto en krangel mellom avdøde og B. Dette dreide seg om noen penger eller om noen joggesko;  C husket at de snakket høyt, og at han ba dem om å dempe seg"
