number;query;questions;reason;score;evaluation
7;how did the victim die (what is the cause of death?);['Was the deceased conscious after sustaining injuries?', 'What is the nature of the bloodstains on the bed?', 'Was the deceased moved to the bed after being injured?'];FILE_20 states that the bloodstains on the bed indicate the deceased was in and partially on the bed at some point after sustaining injuries. This suggests the deceased may have been conscious after being injured and moved to the bed.;2;relevant
8;how did the victim die (what is the cause of death?);"[""Was the deceased's clothing wet due to rain or another factor?"", ""What was the position of the deceased's arms?"", ""Were there any signs of struggle or injury on the deceased's body?""]";FILE_3 describes the deceased's clothing as wet and provides details about the position of the body but does not mention the cause of death or any visible injuries.;1;relevant
9;how did the victim die (what is the cause of death?);['Where were the stab wounds located?', 'What type of weapon was used?', 'Was there any defensive wounds?'];FILE_37 states that the deceased had multiple stab wounds in the face, head, neck, back, and chest. This information directly answers the question of how the deceased died: by stabbing.;3;relevant
10;how did the victim die (what is the cause of death?);['Were there any other injuries besides the stab wounds?', 'What was the extent of the stab wounds?', 'Was the victim conscious after being stabbed?'];FILE_62 states that 'stikkskader med utbredt blødning antaes å ha hatt størst betydning som dødsårsa', meaning that the stab wounds with extensive bleeding are assumed to be the main cause of death. It also mentions 'utbredte skade', indicating other injuries besides the stab wounds.;3;relevant
11;how did the victim die (what is the cause of death?);['Was the victim stabbed while lying down?', 'What type of weapon was used to inflict the stab wounds?', 'Was the victim able to move after being stabbed?'];FILE_63 suggests the victim was likely stabbed while lying down, as the wounds indicate they were stabbed from above. The document also suggests the weapon may have been a pair of scissors rather than a knife due to the irregular nature of the wounds. Additionally, the document states that the victim would have been immobile after receiving wounds 6 and 7.;3;relevant
12;how did the victim die (what is the cause of death?);"[""Why were the victim's arms positioned upwards in front of them?"", 'How long had the victim been deceased before being discovered?']";FILE_64 suggests the victim died while lying on their stomach with their arms raised in front of them. This position, according to Dr. Morild, indicates the victim died in this position. The document also states that the victim's body had been deceased for at least three to four hours before being discovered.;2;relevant
13;how did the victim die (what is the cause of death?);"['When did the deceased stop drinking alcohol?', ""What was the deceased's blood alcohol concentration?"", ""What was the deceased's urine alcohol concentration?""]";FILE_66 states that Dr. Morild believed the alcohol concentrations indicated the deceased died shortly after stopping alcohol consumption. It also mentions that the difference in concentration between blood and urine would be greater if the deceased had been lying there for a longer time without drinking.;2;relevant
14;how did the victim die (what is the cause of death?);['What type of wounds caused the bleeding?'];FILE_69 states that the most likely cause of death was bleeding from stab wounds according to Dr. Mori's assessment.;3;relevant
15;how did the victim die (what is the cause of death?);['Why did B try to wake the deceased?', 'Was the deceased alive when B tried to lift them?', 'What was the condition of the deceased when B placed them by the rhododendron bush?'];FILE_84 describes B's actions leading up to and after placing the deceased by the rhododendron bush. However, it does not provide information about the cause of death.;1;relevant
1;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who resides at [adresse]?', 'Who visited [adresse] on November 6th, 2013?', 'What was the purpose of the visit to [adresse]?'];FILE_101 states that Tiltalte B went to [adresse] to visit the other two defendants, C and A. It also mentions that E came to the address while B was waiting.;2;relevant
2;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who resided at the address [adresse] on November 6th and 7th, 2030?', 'What was the relationship between the individuals residing at the address and B and A?'];FILE_115 states that N01 resided at [adresse] on November 6th and 7th, 2030. It also mentions that B and A visited N01's residence on the evening of November 6th and the morning of November 7th.;2;relevant
3;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who are the individuals residing at or connected to the address?'];FILE_116 mentions individuals A, B, C, and F. It states that A and C previously worked for the deceased, who resided at the address.;2;relevant
4;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;"['Who is B?', ""What is B's relationship to the address?"", 'Was B present at the crime scene?']";FILE_120 states that blood splatter from the deceased was found on B's pants, indicating B was in close proximity to the source of the blood.;2;relevant
5;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who are the individuals present at the address (åsted) besides A and E?'];FILE_131 mentions that there were 'several other residents in the house' besides A, but it doesn't provide their names or any further details about them.;1;relevant
6;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who are the individuals identified as C and A in the document?', 'What is the nature of the relationship between C and A and the crime scene?', 'Were there any other individuals residing at or connected to the address besides C and A?'];FILE_25 states that the bloodstains were found in the area where C and A resided, indicating they lived at the crime scene. However, it doesn't provide information about other individuals connected to the address.;2;relevant
7;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who resided at the address at the time of the crime?', 'Who were the tenants of the room where the deceased was allegedly stabbed?', 'Was the deceased a resident of the address?'];FILE_27 states that Tiltalte C and Tiltalte A resided at the address at the time of the crime and rented the room where the deceased was allegedly stabbed. It also states that the deceased was visiting the house on the night of the crime.;3;relevant
8;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who owns the house located at [adresse]?', 'Who are the residents of the house located at [adresse]?', 'Does anyone rent the house located at [adresse]?'];FILE_7 describes the layout of the house but does not provide information about its owner, residents, or renters.;1;relevant
9;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who are the individuals residing at the address [adresse]?', 'What is the nature of their connection to the address?'];FILE_70 states that C rented a room at [adresse] through company F. A lived in the same room as C, and B slept in a room above the garage.;3;relevant
10;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who lived at the address [adresse] at the time of the incident?', 'Who had previously lived at the address [adresse]?', 'What was the relationship between the deceased and C?'];FILE_71 states that the deceased had previously lived at the address but did not reside there at the time of the incident. It also mentions that C met the deceased at the address and that B was introduced to C by the deceased.;2;relevant
11;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who are the occupants of the rooms in the house?', 'What is the occupancy status of each room?', 'Are there any other individuals associated with the address besides the occupants?'];FILE_8 states that the house had several rooms rented to workers from Eastern European countries. It specifies that C and A resided in one of the four bedrooms on the first floor, and there were three bedrooms on the second floor. This information partially answers the questions about occupants and occupancy status.;2;relevant
12;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who are the residents of the house?', 'Who visited the house?', 'What is the relationship between A and B?'];FILE_84 states that A encountered two other residents in the kitchen and later went upstairs to ask Latvians for cigarettes. It also mentions that B went upstairs after A and they both received cigarettes. This suggests that A, B, and at least two other individuals reside in the house.;2;relevant
13;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who are the other residents mentioned in FILE_85?'];FILE_85 states that 'some other residents came to the kitchen'.;2;relevant
14;persons with residence and connections to the address (the crime scene) as owner, tenant, visitor, etc. ;['Who attended the farewell party?', 'What is the address of the farewell party?', 'Who is the person traveling back to their home country?'];FILE_89 mentions a farewell party for a person traveling back to their home country. It does not provide information about the attendees, the address of the party, or the identity of the person leaving.;1;relevant
